animalCnterNm,institutionNm,animalCnterType,rescueAnimal,latitude,longitude
(사)한국동물구조관리협회,서울특별시 중구,법인,개+고양이+기타,37.870073,126.983225
스타동물병원,경기도 하남시청,동물병원,개+고양이+등,37.64643819,127.1248645
하남동물병원,경기도 하남시청,동물병원,개+고양이+등,37.5371145,127.204029
(사)대한동물사랑협회,순천시,단체,"개,고양이",34.92692972,127.409966
한사랑동물병원,전라북도 고창군,동물병원,"개,고양이",35.43772317,126.695853
쿨펫동물병원,울산광역시 북구청,동물병원,개+고양이,35.5760993,129.359324
이솝동물병원,울산광역시 북구청,동물병원,개+고양이,35.6268056,129.352021
초록동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,35.5625232,129.121373
MK동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,35.43325321,129.3086775
사랑동물병원,울산광역시 남구청,동물병원,개+고양이+기타,35.5358345,129.313478
누리동물보호센터,금정구청,동물병원,유기유실동물 및 피학대동물,35.19653562,129.2060944
담양유기동물보호센터,담양군,개인,개,35.35856173,127.0015712
수원시 동물보호센터,경기도 수원시,법인,"유실유기동물(길고양이는 제외)+피학대동물 중 소유자 알수없거나, 적정한 치료및 보호를 받지 못하는 동물",37.2854014,127.0803376
군산시유기유실동물보호센터,군산도그랜드영농조합법인,법인,"개, 고양이",35.96081558,126.8163096
다나동물병원,농업기술센터,동물병원,유기동물,37.381322,128.663159
춘천시동물보호센터,춘천시 동물보호센터,단체,유기동물(자생하는 길고양이 제외)단 다친 고양이나어미잃은 새끼고양이는구조대상에 포함,37.9225238,127.7344416
사천시유기동물보호센터,농축산과,단체,개,35.115105,127.999155
계룡시 유기동물보호소,계룡시,개인,개+고양이,36.28072047,127.2410379
당진시동물보호소,당진시농업기술센터,개인,"개, 고양이",36.93404125,126.5962631
순천시유기동물임시보호소,순천시,단체,개,35.0158732,127.3794202
우신동물병원,금산군,동물병원,개+고양이+염소등 유기동물,36.10483658,127.4880296
세종 동물병원,부여군,동물병원,개+고양이,36.28244715,126.9100412
서천군 유기동물보호소,서천군,개인,개(유실/유기동물),36.17973079,126.7729003
청양보호소(지팡이동물병원),청양군,동물병원,"개,고양이",36.45055688,126.8047342
금일 동물보호소,홍성군,개인,"개,고양이",36.57890506,126.7054976
흙동물병원,예산군,동물병원,개+고양이,36.68080721,126.8523826
최기중동물병원,태안군,동물병원,개,36.75560685,126.2930464
횡성유기동물보호센터,횡성군청,단체,"개, 고양이",37.41632397,127.9128584
(사)한국동물구조관리협회,포천시청,법인,"개,고양이",37.87011581,126.9835431
가정동물병원,인천광역시 서구청,동물병원,유기동물,37.5156229,126.6730113
평창군유기동물보호소(바둑이마을),평창군청,법인,개,37.636761,128.5533742
가나동물병원,경상북도 경주시청,동물병원,유실유기동물,35.852134,129.206636
공원옆동물병원,경상북도 경주시청,동물병원,유실유기동물,35.860875,129.219679
삼척시유기동물보호소,삼척시청 축산과,개인,개+고양이,37.35928525,129.2195874
울산유기동물보호센터,울산광역시 울주군청,개인,개+고양이+기타,35.3911384,129.2858287
와우동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,35.5702722,129.1230926
범서조은동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,35.563515,129.231009
초록동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,35.5625232,129.121373
MK동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,35.43325321,129.3086775
(사)유기동물 및 동물보호 관리협회,부산광역시 사상구청,단체,개+고양이+기타,35.178959,128.899767
조류보호협회 밀양시지회,(사)한국조류보호협회,단체,조류,35.48432876,128.7685561
(사)한국동물구조관리협회,서초구청 지역경제과,법인,"개,고양이,기타",37.8700725,126.9832252
서초동물사랑센터,서초구청 지역경제과,법인,개,37.4763321,127.0381241
부산동물보호센터,부산광역시 서구청,개인,개+고양이+기타,35.13456442,128.9282297
청도군동물보호소,경상북도 청도군청,개인,개,35.63162511,128.7581274
최상오동물병원,보은군,동물병원,"개,고양이 등 유기동물",36.486005,127.718778
동울산동물병원,울산광역시동구,동물병원,"개, 고양이, 파충류,조류,설치류",35.50765109,129.4298325
일산동물의료센터,울산광역시동구,동물병원,"개, 고양이, 파충류,조류,설치류",35.49940732,129.4280944
쿨펫동물병원,울산광역시 북구청,동물병원,개+고양이,35.5760993,129.359025
이솝동물병원,울산광역시 북구청,동물병원,개+고양이,35.6268056,129.352021
울산유기동물보호센터,울산광역시 북구청,단체,개+고양이,35.3911384,129.2858282
울산유기동물보호센터,울산광역시 울주군청,개인,개+고양이+기타,35.3911384,129.2858287
와우동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,35.5702722,129.1230926
범서조은동물병원,울산광역시 울주군청,동물병원,개+고양이+기타,35.563515,129.231009
성심동물병원,서산시,동물병원,"개,고양이",36.77748798,126.4489349
호크종합 동물병원,논산시,동물병원,"개,고양이",36.19978973,127.0894594
유명동물병원,논산시,동물병원,"개,고양이",36.20446061,127.0907324
천안시 유기동물보호소,천안시,법인,"유기,유실 및 학대동물",36.73773499,127.1729983
연합동물병원,전라북도 완주군청,동물병원,개+기타,35.8811138,127.1555652
용인시 동물보호센터,용인시청,동물병원,"개+고양이+기타(고슴도치, 앵무새, 토끼, 햄스터 등)",37.243299,127.1591338
한국동물구조관리협회,서울특별시 광진구청,법인,유실동물,36.739808,126.912685
여수시 동물보호센터,여수시,법인,개,34.787811,127.653381
답21동물병원,충청남도 서산시청,동물병원,유기견,36.766397,126.442097
서산동물병원,충청남도 서산시청,동물병원,유기견,36.778174,126.457463
대전광역시 동물보호센터,대전광역시,법인,개+고양이+토끼+햄스터+등,36.363193,127.286821
우남동물병원,장성군,동물병원,"개,고양이",35.301425,126.781015
영월군위탁관리보호소,강원도 영월군청,개인,개+고양이,37.223941,128.466159
사단법인 한국동물구조관리협회,도봉구청,법인,유실·유기 및 피학대동물,37.8700725,126.9832252
최종주동물병원,영동군,동물병원,개+고양이 등,36.1726027,127.7823399
영덕동물보호센터,경상북도 영덕군청,법인,개+고양이,36.43573023,129.3576208
신효진,농업기술센터,개인,개,35.32816405,128.2504903
성일동물병원,철원군,동물병원,개 고양이,38.209944,127.2172647
인천수의사회 유기동물보호소,인천수의사회,법인,「동물보호법」에 따른 유실·유기동물,37.56623917,126.7196302
인천수의사회 유기동물보호소,인천수의사회,법인,「동물보호법」에 따른 유실·유기동물,37.56623917,126.7196302
한국동물구조관리협회,경기도 양주시청,법인,개+고양이+야생동물,37.87011581,126.9835431
경동동물병원,농수산과,동물병원,개+고양이+기타,37.471909,126.6299454
신공항동물병원,농수산과,동물병원,개+고양이+기타,37.49360749,126.5371848
천안시 유기동물보호소,천안시,단체,개+고양이,36.78245299,127.2042331
이기영수의과병원,공주시,동물병원,개+고양이+기타,36.45288547,127.1220632
임시동물보호소,보령시농업기술센터,개인,"개, 고양이, 염소 등 유기동물",36.3325806,126.5882243
아산시 동물보호센터,아산시,동물병원,개+고양이+염소등 유기동물,36.806897,127.0048187
